energy,events
1.0806245260055503,0.005232979888549703
1.2269383531344202,0.005336122835684253
1.3556677125040624,0.005471990054265336
1.4979032500132852,0.005638554617184626
1.7318487478075815,0.006011630052838302
1.928487701879566,0.006347278727695142
2.085750107622412,0.006613720421137631
2.3574398919487387,0.0071060296772219415
2.625110215484335,0.007530380668840371
2.839180104249935,0.007839599525380485
3.2382504452345677,0.008312510836427056
3.5975300199422504,0.008570326587179674
3.953406341795567,0.008705459823117701
4.612504350227457,0.00878363332337398
5.096444499769279,0.00881969706938706
5.631159250385894,0.00881969706938706
6.629828296673815,0.008862508807932799
7.365398917630335,0.009039210383956386
8.05737789902502,0.009294604128051574
9.273642743364034,0.009873474427539978
10.302541056565838,0.010188049519068418
11.32169319612527,0.01034406561753904
13.209206088173168,0.010347919389991859
14.515892523367103,0.01035640274400501
16.126411468858986,0.010347919389991859
18.111678240952727,0.010347919389991859
19.598786807941497,0.010347919389991859
22.76276182713271,0.010309446186357213
25.151012011019077,0.010284515343597528
27.78983543308055,0.010263467110640035
32.71827862114188,0.010263467110640035
36.15105341037009,0.010263467110640035
39.943992097278006,0.010363348842720749
46.603314050046976,0.010562102841316688
51.21342595970991,0.01051891439717437
56.895487371978184,0.01051891439717437
63.89969415287216,0.010441619738241781
69.14635221175,0.01043306657949546
80.30915188961193,0.010355631242702674
88.25352634297458,0.010322510999566135
98.04513756860362,0.010259644789907651
110.11513554404803,0.010188049519068418
119.15643802547227,0.010142234065572804
138.3927304033062,0.010017954137757662
152.082872137817,0.009948786601916787
168.95626428153028,0.009822119744101365
197.12405875354307,0.009644472743528382
216.62404474091042,0.009525937397630645
240.6581940391853,0.009368292093074545
270.28479242908037,0.009173532207493628
291.1538496235584,0.00902276442518283
337.9014386088052,0.008633474102812025
371.9454444766131,0.00859078203663995
410.9696535296695,0.008068459387652561
456.38217547794204,0.007711281623493151
498.32929892953223,0.0074101355425759425
554.3719978366464,0.006928299460764849
629.4325639302033,0.006244429920019355
708.2033756631989,0.005499575841813841
782.5074893292536,0.004798476458235855
849.0646084753754,0.004155508405583727
912.9643873079494,0.003572343502263632
955.3214376514072,0.003166546889702776
