Xe137 scaling,Sensitivity (yrs)
0.01,1.5042504839171261e+28
0.1,1.4588961979698762e+28
0.3,1.4002588909775176e+28
1.0,1.2846032893628554e+28
3.0,1.1066849176467802e+28
10.0,8.398852750125516e+27
30.0,6.101303188707643e+27
100.0,3.893433304371998e+27
