Rn222 scaling,Sensitivity (yrs)
0.01,1.7419220603760319e+28
0.1,1.6433226984679548e+28
0.3,1.5835655094327562e+28
1.0,1.3913115498211117e+28
3.0,1.2249803518818792e+28
10.0,9.953840345005898e+27
30.0,7.47606034496151e+27
100.0,5.129334688975359e+27
