gamma scaling,Discovery (yrs),bkg index
0.01,9.09e+27,9.12e-05
0.1,8.77e+27,0.000102
0.3,8.37e+27,0.000127
1.0,7.4e+27,0.000212
3.0,6.46e+27,0.000456
10.0,5.17e+27,0.00131
