Rn222 scaling,Sensitivity (yrs)
0.01,1.4788202247839675
0.1,1.439581213844426
0.3,1.3232735852868733
1.0,1.2023095179337797
3.0,1.0471260216504088
10.0,0.8427839533477562
30.0,0.6583750261268023
100.0,0.45796226428287456
