gamma scaling,Discovery (yrs),bkg index
0.01,1.37e+28,1.57e-05
0.1,1.19e+28,3.36e-05
0.3,9.84e+27,7.33e-05
1.0,7.4e+27,0.000212
3.0,5.57e+27,0.000609
10.0,3.17e+27,0.002
